epoch,accuracy,auc,auc_pr,f1_score,loss,precision,recall,val_accuracy,val_auc,val_auc_pr,val_f1_score,val_loss,val_precision,val_recall
0,0.49760115146636963,0.4982515573501587,0.4988158345222473,0.4925011098384857,0.765674889087677,0.4946717619895935,0.49034950137138367,0.49380895495414734,0.3992857336997986,0.41323184967041016,0.6596629619598389,0.7036924362182617,0.4921620786190033,1.0
1,0.49889782071113586,0.5041713118553162,0.5026589035987854,0.5024141669273376,0.7158836722373962,0.4963745176792145,0.5086027383804321,0.4728773534297943,0.37507563829421997,0.43077802658081055,0.2641974985599518,0.7048469185829163,0.4190600514411926,0.1929086595773697
2,0.4937759339809418,0.49752676486968994,0.49658268690109253,0.5041279792785645,0.7072181105613708,0.49163880944252014,0.5172683596611023,0.3611438572406769,0.3512149155139923,0.3852468430995941,0.21966145932674408,0.695604145526886,0.27403414249420166,0.18329326808452606
3,0.4944242835044861,0.4897330403327942,0.48912718892097473,0.49065962433815,0.7017548084259033,0.49117299914360046,0.4901474714279175,0.2998231053352356,0.25268658995628357,0.35030674934387207,0.34518879652023315,0.7016997933387756,0.31889963150024414,0.37620192766189575
4,0.5035010576248169,0.5026857852935791,0.4976162910461426,0.5067628622055054,0.6977071166038513,0.5007637739181519,0.5129074454307556,0.5409787893295288,0.5099455714225769,0.48245999217033386,0.38042178750038147,0.7065380215644836,0.563015341758728,0.28725960850715637
5,0.4995461702346802,0.49910208582878113,0.49461013078689575,0.5109913349151611,0.6976175904273987,0.4973486363887787,0.5254038572311401,0.4899764060974121,0.4556761384010315,0.46136757731437683,0.6563368439674377,0.6953157186508179,0.490207701921463,0.9927884340286255
6,0.4979253113269806,0.5002455711364746,0.4980541169643402,0.4857218265533447,0.6964796781539917,0.4951259195804596,0.47666841745376587,0.6008254885673523,0.5778291821479797,0.587756872177124,0.5108380913734436,0.6875815987586975,0.6403985619544983,0.4248798191547394
7,0.5052515268325806,0.5067492127418518,0.5016767382621765,0.4882987141609192,0.6969407200813293,0.5014460682868958,0.475823312997818,0.515625,0.34372755885124207,0.38102254271507263,0.6686831712722778,0.6991593837738037,0.5031866431236267,0.9963942170143127
8,0.5069372653961182,0.5076382756233215,0.5035454630851746,0.5107751488685608,0.6961403489112854,0.5043832063674927,0.5173312425613403,0.5648584961891174,0.6070699095726013,0.5958284139633179,0.3654341399669647,0.688531756401062,0.6419939398765564,0.2554086446762085
9,0.507391095161438,0.5136384963989258,0.5106483697891235,0.5207517743110657,0.6957190632820129,0.5052631497383118,0.5372201800346375,0.4089033007621765,0.3380095362663269,0.386565625667572,0.5340459942817688,0.7040709257125854,0.43539220094680786,0.690504789352417
