filename,label,original_image,augmentation
Cerro_Bravo_center_original.tif,1,Cerro_Bravo_center.tif,original
Cerro_Bravo_center_rotation_90.tif,1,Cerro_Bravo_center,rotation_90
Cerro_Bravo_center_rotation_180.tif,1,Cerro_Bravo_center,rotation_180
Cerro_Bravo_center_rotation_270.tif,1,Cerro_Bravo_center,rotation_270
Cerro_Bravo_center_rotation_45.tif,1,Cerro_Bravo_center,rotation_45
Cerro_Bravo_center_rotation_neg45.tif,1,Cerro_Bravo_center,rotation_neg45
Cerro_Bravo_center_flip_horizontal.tif,1,Cerro_Bravo_center,flip_horizontal
Cerro_Bravo_center_flip_vertical.tif,1,Cerro_Bravo_center,flip_vertical
Cerro_Bravo_center_brightness_1.2.tif,1,Cerro_Bravo_center,brightness_1.2
Cerro_Bravo_center_brightness_0.8.tif,1,Cerro_Bravo_center,brightness_0.8
Cerro_Bravo_center_contrast_1.3.tif,1,Cerro_Bravo_center,contrast_1.3
Cerro_Bravo_east_original.tif,1,Cerro_Bravo_east.tif,original
Cerro_Bravo_east_rotation_90.tif,1,Cerro_Bravo_east,rotation_90
Cerro_Bravo_east_rotation_180.tif,1,Cerro_Bravo_east,rotation_180
Cerro_Bravo_east_rotation_270.tif,1,Cerro_Bravo_east,rotation_270
Cerro_Bravo_east_rotation_45.tif,1,Cerro_Bravo_east,rotation_45
Cerro_Bravo_east_rotation_neg45.tif,1,Cerro_Bravo_east,rotation_neg45
Cerro_Bravo_east_flip_horizontal.tif,1,Cerro_Bravo_east,flip_horizontal
Cerro_Bravo_east_flip_vertical.tif,1,Cerro_Bravo_east,flip_vertical
Cerro_Bravo_east_brightness_1.2.tif,1,Cerro_Bravo_east,brightness_1.2
Cerro_Bravo_east_brightness_0.8.tif,1,Cerro_Bravo_east,brightness_0.8
Cerro_Bravo_east_contrast_1.3.tif,1,Cerro_Bravo_east,contrast_1.3
Cerro_Bravo_north_original.tif,1,Cerro_Bravo_north.tif,original
Cerro_Bravo_north_rotation_90.tif,1,Cerro_Bravo_north,rotation_90
Cerro_Bravo_north_rotation_180.tif,1,Cerro_Bravo_north,rotation_180
Cerro_Bravo_north_rotation_270.tif,1,Cerro_Bravo_north,rotation_270
Cerro_Bravo_north_rotation_45.tif,1,Cerro_Bravo_north,rotation_45
Cerro_Bravo_north_rotation_neg45.tif,1,Cerro_Bravo_north,rotation_neg45
Cerro_Bravo_north_flip_horizontal.tif,1,Cerro_Bravo_north,flip_horizontal
Cerro_Bravo_north_flip_vertical.tif,1,Cerro_Bravo_north,flip_vertical
Cerro_Bravo_north_brightness_1.2.tif,1,Cerro_Bravo_north,brightness_1.2
Cerro_Bravo_north_brightness_0.8.tif,1,Cerro_Bravo_north,brightness_0.8
Cerro_Bravo_north_contrast_1.3.tif,1,Cerro_Bravo_north,contrast_1.3
Cerro_Bravo_south_original.tif,1,Cerro_Bravo_south.tif,original
Cerro_Bravo_south_rotation_90.tif,1,Cerro_Bravo_south,rotation_90
Cerro_Bravo_south_rotation_180.tif,1,Cerro_Bravo_south,rotation_180
Cerro_Bravo_south_rotation_270.tif,1,Cerro_Bravo_south,rotation_270
Cerro_Bravo_south_rotation_45.tif,1,Cerro_Bravo_south,rotation_45
Cerro_Bravo_south_rotation_neg45.tif,1,Cerro_Bravo_south,rotation_neg45
Cerro_Bravo_south_flip_horizontal.tif,1,Cerro_Bravo_south,flip_horizontal
Cerro_Bravo_south_flip_vertical.tif,1,Cerro_Bravo_south,flip_vertical
Cerro_Bravo_south_brightness_1.2.tif,1,Cerro_Bravo_south,brightness_1.2
Cerro_Bravo_south_brightness_0.8.tif,1,Cerro_Bravo_south,brightness_0.8
Cerro_Bravo_south_contrast_1.3.tif,1,Cerro_Bravo_south,contrast_1.3
Cerro_Bravo_west_original.tif,1,Cerro_Bravo_west.tif,original
Cerro_Bravo_west_rotation_90.tif,1,Cerro_Bravo_west,rotation_90
Cerro_Bravo_west_rotation_180.tif,1,Cerro_Bravo_west,rotation_180
Cerro_Bravo_west_rotation_270.tif,1,Cerro_Bravo_west,rotation_270
Cerro_Bravo_west_rotation_45.tif,1,Cerro_Bravo_west,rotation_45
Cerro_Bravo_west_rotation_neg45.tif,1,Cerro_Bravo_west,rotation_neg45
Cerro_Bravo_west_flip_horizontal.tif,1,Cerro_Bravo_west,flip_horizontal
Cerro_Bravo_west_flip_vertical.tif,1,Cerro_Bravo_west,flip_vertical
Cerro_Bravo_west_brightness_1.2.tif,1,Cerro_Bravo_west,brightness_1.2
Cerro_Bravo_west_brightness_0.8.tif,1,Cerro_Bravo_west,brightness_0.8
Cerro_Bravo_west_contrast_1.3.tif,1,Cerro_Bravo_west,contrast_1.3
Cerro_Machin_center_original.tif,1,Cerro_Machin_center.tif,original
Cerro_Machin_center_rotation_90.tif,1,Cerro_Machin_center,rotation_90
Cerro_Machin_center_rotation_180.tif,1,Cerro_Machin_center,rotation_180
Cerro_Machin_center_rotation_270.tif,1,Cerro_Machin_center,rotation_270
Cerro_Machin_center_rotation_45.tif,1,Cerro_Machin_center,rotation_45
